,city,trips_in_first_30_days,signup_date,last_trip_date,weekday_pct,avg_dist,months_with_company
170,Astapor,0,2014-01-09,2014-06-17,100.0,5.45,5
171,Winterfell,1,2014-01-14,2014-01-15,100.0,2.2,0
172,Winterfell,1,2014-01-31,2014-04-06,50.0,3.88,2
173,Astapor,1,2014-01-07,2014-01-15,100.0,9.77,0
174,Astapor,3,2014-01-25,2014-04-06,0.0,1.75,2
175,King's Landing,1,2014-01-17,2014-01-18,100.0,3.56,0
176,Astapor,0,2014-01-28,2014-03-18,100.0,20.32,1
177,King's Landing,0,2014-01-05,2014-04-19,75.0,14.37,3
178,Astapor,1,2014-01-30,2014-02-25,100.0,4.46,0
179,Astapor,1,2014-01-15,2014-01-27,100.0,12.52,0
180,Astapor,2,2014-01-02,2014-06-13,69.0,4.2,5
181,Winterfell,1,2014-01-28,2014-03-17,0.0,2.74,1
182,Winterfell,0,2014-01-01,2014-05-06,100.0,18.15,4
183,King's Landing,1,2014-01-04,2014-01-05,0.0,7.54,0
184,Winterfell,0,2014-01-15,2014-05-25,75.0,10.16,4
185,Winterfell,1,2014-01-01,2014-01-26,0.0,26.9,0
186,King's Landing,1,2014-01-01,2014-06-08,20.0,3.15,5
187,Winterfell,1,2014-01-19,2014-01-19,0.0,4.54,0
188,Winterfell,1,2014-01-11,2014-01-14,100.0,0.0,0
189,Winterfell,2,2014-01-11,2014-06-23,33.3,8.91,5
190,Winterfell,0,2014-01-23,2014-05-17,75.0,10.37,3
191,Winterfell,1,2014-01-29,2014-01-29,100.0,1.34,0
192,Winterfell,3,2014-01-25,2014-06-25,20.0,4.42,4
193,Winterfell,4,2014-01-12,2014-01-16,100.0,5.99,0
194,King's Landing,0,2014-01-09,2014-06-21,42.9,1.78,5
195,Winterfell,1,2014-01-29,2014-02-21,100.0,1.27,0
196,Winterfell,3,2014-01-27,2014-06-11,62.5,8.0,4
197,Winterfell,0,2014-01-08,2014-03-02,33.3,3.75,1
198,Winterfell,1,2014-01-26,2014-03-03,0.0,1.38,1
199,Winterfell,0,2014-01-16,2014-05-16,100.0,4.58,3
200,Winterfell,22,2014-01-11,2014-06-29,83.8,2.34,5
201,King's Landing,1,2014-01-17,2014-06-27,100.0,27.32,5
202,Winterfell,2,2014-01-27,2014-05-20,57.1,2.5,3
203,King's Landing,2,2014-01-12,2014-06-29,52.2,6.87,5
204,Winterfell,0,2014-01-06,2014-05-12,66.7,5.28,4
205,Astapor,0,2014-01-09,2014-05-27,100.0,2.09,4
206,Winterfell,0,2014-01-22,2014-06-18,100.0,3.69,4
207,Astapor,3,2014-01-19,2014-01-26,0.0,2.52,0
208,Winterfell,1,2014-01-24,2014-01-26,0.0,14.93,0
209,Astapor,0,2014-01-06,2014-05-09,100.0,11.78,4
210,Winterfell,0,2014-01-14,2014-05-14,100.0,16.88,3
211,King's Landing,0,2014-01-17,2014-06-29,0.0,2.34,5
212,Winterfell,0,2014-01-10,2014-02-10,100.0,0.89,1
213,Winterfell,1,2014-01-18,2014-01-19,0.0,3.07,0
214,Astapor,7,2014-01-18,2014-06-20,57.1,3.81,5
215,Winterfell,1,2014-01-24,2014-01-24,100.0,19.77,0
216,King's Landing,0,2014-01-11,2014-06-27,50.0,2.7,5
217,Winterfell,8,2014-01-06,2014-06-28,72.2,2.66,5
218,Winterfell,1,2014-01-20,2014-02-16,0.0,2.6,0
219,King's Landing,0,2014-01-28,2014-06-14,100.0,12.21,4
220,Winterfell,6,2014-01-19,2014-06-29,0.0,2.34,5
221,Winterfell,1,2014-01-25,2014-05-18,25.0,10.61,3
222,King's Landing,0,2014-01-18,2014-03-31,0.0,7.89,2
223,Astapor,2,2014-01-29,2014-05-05,100.0,5.31,3
224,Winterfell,0,2014-01-18,2014-06-29,40.0,1.69,5
225,Astapor,3,2014-01-24,2014-06-28,39.1,5.04,5
226,King's Landing,0,2014-01-24,2014-06-28,100.0,6.8,5
227,Winterfell,0,2014-01-06,2014-05-22,100.0,17.87,4
228,Astapor,1,2014-01-18,2014-05-17,0.0,24.43,3
229,King's Landing,2,2014-01-25,2014-06-30,46.3,2.69,5
230,Winterfell,1,2014-01-06,2014-01-06,100.0,18.61,0
231,Winterfell,1,2014-01-28,2014-06-12,100.0,9.31,4
232,Winterfell,4,2014-01-19,2014-06-29,45.5,7.17,5
233,Winterfell,0,2014-01-05,2014-04-30,100.0,12.96,3
234,Winterfell,0,2014-01-24,2014-03-26,100.0,10.68,2
235,Winterfell,0,2014-01-01,2014-06-29,42.9,1.62,5
236,Astapor,1,2014-01-24,2014-04-16,100.0,7.6,2
237,King's Landing,6,2014-01-26,2014-06-28,45.5,1.53,5
238,Astapor,1,2014-01-18,2014-01-18,0.0,5.72,0
239,Astapor,2,2014-01-26,2014-06-21,33.3,16.19,4
240,Astapor,0,2014-01-10,2014-05-26,100.0,3.28,4
241,King's Landing,2,2014-01-20,2014-06-16,100.0,12.45,4
242,Astapor,5,2014-01-25,2014-06-26,87.5,6.46,4
243,Winterfell,0,2014-01-01,2014-05-18,25.0,5.05,4
244,Astapor,2,2014-01-22,2014-05-16,83.3,13.83,3
245,Astapor,1,2014-01-08,2014-01-09,100.0,3.42,0
246,Winterfell,0,2014-01-30,2014-05-04,50.0,3.04,3
247,Winterfell,0,2014-01-11,2014-03-27,100.0,17.04,2
248,Winterfell,1,2014-01-26,2014-06-21,50.0,19.07,4
249,King's Landing,2,2014-01-08,2014-01-09,100.0,1.13,0
250,Astapor,1,2014-01-04,2014-03-28,50.0,2.82,2
251,Winterfell,2,2014-01-26,2014-03-03,100.0,8.09,1
252,King's Landing,1,2014-01-24,2014-06-25,100.0,3.34,4
253,King's Landing,0,2014-01-01,2014-06-01,0.0,20.03,4
254,Astapor,1,2014-01-16,2014-01-17,100.0,5.38,0
255,Astapor,1,2014-01-17,2014-01-18,0.0,10.73,0
256,Winterfell,0,2014-01-03,2014-04-24,100.0,17.63,3
257,Winterfell,1,2014-01-10,2014-01-11,100.0,6.2,0
258,Astapor,0,2014-01-19,2014-05-19,45.5,4.56,3
259,Winterfell,4,2014-01-17,2014-06-23,45.5,2.99,5
260,Winterfell,2,2014-01-10,2014-06-26,87.5,3.56,5
261,Winterfell,0,2014-01-11,2014-06-11,100.0,1.59,4
262,Winterfell,2,2014-01-08,2014-01-09,100.0,0.68,0
263,King's Landing,3,2014-01-31,2014-02-10,66.7,9.15,0
264,Astapor,5,2014-01-01,2014-04-06,44.4,5.76,3
265,Winterfell,5,2014-01-18,2014-06-27,55.6,3.19,5
266,Winterfell,3,2014-01-16,2014-01-17,100.0,0.7,0
267,Winterfell,0,2014-01-24,2014-05-11,0.0,7.69,3
268,Winterfell,0,2014-01-25,2014-06-22,37.5,1.86,4
269,Astapor,0,2014-01-31,2014-03-06,100.0,5.82,1
270,King's Landing,3,2014-01-18,2014-06-22,50.0,3.84,5
271,Astapor,1,2014-01-30,2014-01-30,100.0,2.32,0
272,King's Landing,0,2014-01-27,2014-06-29,0.0,2.37,5
273,Winterfell,1,2014-01-05,2014-01-06,100.0,1.17,0
274,Astapor,1,2014-01-25,2014-02-09,0.0,6.0,0
275,Winterfell,5,2014-01-31,2014-05-24,69.2,4.14,3
276,Astapor,0,2014-01-03,2014-03-28,100.0,3.23,2
277,Winterfell,1,2014-01-25,2014-01-26,0.0,1.82,0
278,Astapor,0,2014-01-30,2014-06-08,0.0,3.29,4
279,Winterfell,1,2014-01-25,2014-02-01,0.0,13.12,0
280,King's Landing,2,2014-01-19,2014-06-29,14.3,2.51,5
281,Astapor,0,2014-01-21,2014-05-09,100.0,0.63,3
282,King's Landing,3,2014-01-18,2014-05-10,76.5,1.83,3
283,Astapor,6,2014-01-21,2014-02-10,33.3,1.88,0
284,Astapor,4,2014-01-10,2014-01-13,25.0,3.34,0
285,Astapor,1,2014-01-15,2014-06-18,44.4,7.81,5
286,Astapor,0,2014-01-27,2014-03-16,0.0,3.57,1
287,Winterfell,0,2014-01-03,2014-04-01,100.0,1.34,2
288,Astapor,7,2014-01-30,2014-06-09,78.6,3.3,4
289,Astapor,0,2014-01-17,2014-03-10,0.0,6.71,1
290,Astapor,5,2014-01-16,2014-06-21,63.6,2.41,5
291,Astapor,1,2014-01-13,2014-01-13,100.0,8.08,0
292,King's Landing,0,2014-01-07,2014-06-23,71.4,2.43,5
293,Astapor,0,2014-01-30,2014-05-10,100.0,0.59,3
294,Winterfell,1,2014-01-08,2014-01-12,0.0,14.51,0
295,King's Landing,1,2014-01-19,2014-01-20,0.0,5.21,0
296,Winterfell,2,2014-01-10,2014-05-31,33.3,2.96,4
297,King's Landing,1,2014-01-16,2014-07-01,100.0,5.93,5
298,Astapor,1,2014-01-01,2014-01-01,100.0,10.43,0
299,Winterfell,9,2014-01-02,2014-06-28,88.3,1.85,5
300,Winterfell,9,2014-01-21,2014-06-30,56.7,3.03,5
301,Winterfell,0,2014-01-01,2014-05-25,33.3,4.65,4
302,Winterfell,6,2014-01-30,2014-02-18,66.7,2.82,0
303,Winterfell,0,2014-01-15,2014-05-11,33.3,2.05,3
304,Winterfell,0,2014-01-13,2014-03-19,100.0,19.81,2
305,King's Landing,8,2014-01-16,2014-07-01,70.9,7.5,5
306,King's Landing,1,2014-01-18,2014-01-19,0.0,1.64,0
307,Winterfell,2,2014-01-26,2014-06-22,57.1,3.18,4
308,Winterfell,1,2014-01-29,2014-06-18,50.0,4.56,4
309,King's Landing,0,2014-01-05,2014-05-23,100.0,8.07,4
310,Winterfell,4,2014-01-10,2014-01-19,0.0,1.84,0
311,Winterfell,1,2014-01-16,2014-02-21,100.0,4.07,1
312,King's Landing,15,2014-01-26,2014-06-30,60.0,2.48,5
313,King's Landing,0,2014-01-11,2014-07-01,23.1,2.34,5
314,Winterfell,5,2014-01-21,2014-01-22,100.0,1.89,0
315,Winterfell,0,2014-01-25,2014-06-15,0.0,11.86,4
316,Astapor,4,2014-01-26,2014-04-26,66.7,3.83,2
317,Astapor,1,2014-01-11,2014-01-12,0.0,14.59,0
318,King's Landing,0,2014-01-30,2014-06-04,100.0,1.43,4
319,King's Landing,1,2014-01-29,2014-06-21,33.3,6.46,4
320,Astapor,1,2014-01-08,2014-01-09,100.0,31.01,0
321,Astapor,2,2014-01-17,2014-01-28,100.0,5.21,0
322,Astapor,0,2014-01-18,2014-04-02,100.0,14.79,2
323,Astapor,2,2014-01-16,2014-05-25,50.0,3.84,4
324,Astapor,0,2014-01-20,2014-04-14,25.0,7.34,2
325,Winterfell,0,2014-01-13,2014-04-02,100.0,3.13,2
326,Winterfell,1,2014-01-18,2014-03-26,50.0,1.58,2
327,Winterfell,1,2014-01-18,2014-01-19,0.0,4.42,0
328,King's Landing,1,2014-01-24,2014-06-22,60.0,5.73,4
329,Astapor,0,2014-01-25,2014-05-23,100.0,7.85,3
330,King's Landing,2,2014-01-09,2014-06-25,65.2,2.88,5
331,Astapor,1,2014-01-10,2014-03-23,0.0,6.75,2
332,Astapor,1,2014-01-18,2014-01-19,0.0,6.25,0
333,King's Landing,8,2014-01-07,2014-06-30,93.1,2.51,5
334,Astapor,1,2014-01-25,2014-01-25,0.0,5.54,0
335,Astapor,4,2014-01-01,2014-01-17,50.0,10.1,0
336,Winterfell,1,2014-01-06,2014-05-27,100.0,7.04,4
337,King's Landing,0,2014-01-20,2014-06-22,40.0,3.23,5
338,Astapor,1,2014-01-08,2014-06-24,100.0,3.95,5
339,King's Landing,4,2014-01-09,2014-06-29,62.9,2.48,5
340,Winterfell,4,2014-01-19,2014-06-29,66.7,1.76,5
341,Astapor,1,2014-01-12,2014-04-11,50.0,2.41,2
342,Winterfell,1,2014-01-12,2014-01-22,100.0,1.37,0
343,Astapor,1,2014-01-01,2014-05-25,25.0,1.55,4
344,Winterfell,1,2014-01-11,2014-03-24,0.0,2.56,2
345,King's Landing,5,2014-01-13,2014-06-16,81.8,1.64,5
346,Astapor,0,2014-01-12,2014-04-04,100.0,4.95,2
347,Winterfell,2,2014-01-04,2014-01-05,0.0,4.63,0
348,Winterfell,0,2014-01-23,2014-05-21,100.0,18.86,3
349,Winterfell,1,2014-01-06,2014-06-22,33.3,6.03,5
350,King's Landing,4,2014-01-25,2014-07-01,64.0,2.0,5
351,Astapor,4,2014-01-08,2014-01-12,50.0,0.84,0
352,Astapor,2,2014-01-18,2014-01-19,0.0,7.09,0
353,Winterfell,1,2014-01-22,2014-01-27,0.0,1.73,0
354,Winterfell,0,2014-01-09,2014-05-26,0.0,2.85,4
355,King's Landing,0,2014-01-20,2014-06-07,0.0,1.22,4
356,Winterfell,1,2014-01-15,2014-01-16,100.0,0.0,0
357,Astapor,1,2014-01-03,2014-06-17,85.7,3.96,5
358,Astapor,0,2014-01-01,2014-06-27,62.5,1.71,5
359,Winterfell,1,2014-01-11,2014-06-18,80.0,8.17,5
360,King's Landing,0,2014-01-23,2014-05-17,33.3,5.55,3
361,Astapor,1,2014-01-22,2014-05-25,50.0,3.29,4
362,Astapor,1,2014-01-18,2014-01-19,0.0,8.11,0
363,Winterfell,0,2014-01-26,2014-06-21,75.0,5.96,4
364,King's Landing,1,2014-01-03,2014-01-05,0.0,6.79,0
365,Winterfell,0,2014-01-15,2014-06-11,28.6,2.05,4
366,Astapor,6,2014-01-23,2014-06-21,50.0,4.11,4
367,King's Landing,22,2014-01-07,2014-05-05,88.9,6.07,3
368,King's Landing,0,2014-01-13,2014-03-20,100.0,5.64,2
369,Astapor,1,2014-01-22,2014-06-20,100.0,4.69,4
370,Winterfell,0,2014-01-20,2014-03-25,100.0,18.29,2
371,King's Landing,3,2014-01-19,2014-01-25,33.3,4.1,0
372,Winterfell,0,2014-01-08,2014-02-15,0.0,2.93,1
373,Astapor,1,2014-01-19,2014-05-16,100.0,7.8,3
374,Winterfell,3,2014-01-24,2014-02-06,66.7,2.7,0
375,Winterfell,5,2014-01-06,2014-05-31,61.5,2.17,4
376,Winterfell,6,2014-01-30,2014-05-18,60.0,3.12,3
377,Winterfell,1,2014-01-28,2014-02-08,0.0,5.38,0
378,King's Landing,5,2014-01-24,2014-06-22,45.5,8.41,4
379,Winterfell,1,2014-01-03,2014-06-20,100.0,6.16,5
380,Astapor,0,2014-01-15,2014-04-27,33.3,9.5,3
381,Winterfell,0,2014-01-11,2014-03-19,100.0,1.41,2
382,Astapor,2,2014-01-23,2014-01-25,50.0,14.18,0
383,King's Landing,0,2014-01-27,2014-06-18,100.0,16.88,4
384,Astapor,0,2014-01-24,2014-06-01,57.1,8.53,4
385,King's Landing,2,2014-01-18,2014-06-29,12.5,7.05,5
386,Astapor,3,2014-01-11,2014-01-16,66.7,2.67,0
387,King's Landing,0,2014-01-01,2014-05-22,100.0,8.44,4
388,King's Landing,0,2014-01-02,2014-06-30,100.0,1.77,5
389,King's Landing,5,2014-01-26,2014-07-01,66.7,3.08,5
390,Winterfell,0,2014-01-01,2014-06-25,57.1,3.5,5
391,Winterfell,7,2014-01-05,2014-03-07,7.1,4.67,2
392,Astapor,5,2014-01-09,2014-01-10,100.0,0.79,0
393,Astapor,13,2014-01-15,2014-06-30,100.0,3.17,5
394,Astapor,0,2014-01-10,2014-06-13,100.0,1.42,5
395,King's Landing,2,2014-01-27,2014-02-21,100.0,1.88,0
396,Astapor,4,2014-01-14,2014-06-30,79.2,6.28,5
397,Astapor,1,2014-01-25,2014-01-26,0.0,4.29,0
398,Winterfell,1,2014-01-26,2014-04-16,66.7,8.88,2
399,Winterfell,3,2014-01-02,2014-01-02,100.0,5.33,0
400,Astapor,0,2014-01-22,2014-04-20,60.0,9.2,2
401,Astapor,0,2014-01-04,2014-06-28,66.7,3.99,5
402,King's Landing,0,2014-01-14,2014-06-23,100.0,14.26,5
403,Winterfell,3,2014-01-20,2014-06-22,54.8,2.76,5
404,Winterfell,5,2014-01-28,2014-06-06,50.0,4.62,4
405,Astapor,5,2014-01-11,2014-02-08,40.0,3.66,0
406,King's Landing,13,2014-01-14,2014-06-04,76.9,5.77,4
407,Winterfell,2,2014-01-20,2014-06-29,80.0,4.05,5
408,Winterfell,5,2014-01-10,2014-06-22,31.0,1.51,5
409,King's Landing,0,2014-01-06,2014-06-09,33.3,1.88,5
410,Winterfell,4,2014-01-05,2014-06-26,92.9,1.43,5
411,Winterfell,5,2014-01-17,2014-06-29,56.1,1.91,5
412,Astapor,7,2014-01-01,2014-06-28,46.7,3.6,5
